id,ID PUNTO,note,LATITUDINE,LONGITUDIN,QUOTA,SPECIE,NOME VOLG,natural_monument:criteria,AL IS - H,AL IS - C
2102,002/G114/CN/01,,44.135746,7.834436,1183,Betula pendula Roth,Betulla verrucosa,age;circumference,22.5,2.78
2104,001/G114/CN/01,,44.148011,7.913183,830,Ulmus glabra Huds.,Olmo montano,circumference,26,3.7
2105,001/G625/CN/01,,44.307945,6.999019,1939,Larix decidua Mill.,Larice,age;circumference;landscape,23,6.6
2106,001/G683/CN/01,,44.725126,7.998067,186,Salix alba L.,Salice bianco,age;circumference,3.5,4.2
2107,001/H150/CN/01,,44.773332,7.675082,255,Zelkova carpinifolia (Pall.) K. Koch,Olmo del Caucaso,age;circumference;height;shape;rarity,42,3.9
2109,001/I470/CN/01,,44.644295,7.659541,319,Platanus acerifolia (Aiton) Willd.,Platano comune,age;circumference;historic,20,7.2
2110,001/I659/CN/01,,44.560347,8.057317,750,Aesculus hippocastanum L.,Ippocastano,age;circumference,21.5,3.0
2112,002/L558/CN/01,,44.287074,7.399471,1269,Juniperus thurifera L.,Ginepro di Spagna,age;rarity,6,0.2
2113,003/L558/CN/01,,44.189097,7.221288,1950,Larix decidua Mill.,Larice,age;circumference,28,5.7
2115,002/L771/CN/01,,44.194722,7.491944,1550,Fagus sylvatica L.,Faggio,age;circumference,25.5,4.95
2116,003/L771/CN/01,,44.19988,7.521795,1387,Fraxinus excelsior L.,Frassino maggiore,age;circumference,30,4.33
2117,001/L771/CN/01,,44.228889,7.531111,1100,Ulmus glabra Huds.,Olmo montano,age,30,3.26
2118,001/L841/CN/01,,44.358234,7.860999,521,Sequoiadendron giganteum (Lindl.) J. Buchholz,Sequoia gigante,age;circumference,40,8.8
2119,001/M055/CN/01,,44.218111,7.180133,2000,Larix decidua Mill.,Larice,age;circumference,22,5.63
2120,001/A429/NO/01,,45.749162,8.548176,298,Juglans regia L.,Noce comune,shape;plant_architecture,16,2.5
2121,001/B864/NO/01,,45.437408,8.466871,151,Ginkgo biloba L.,Ginco,age;circumference;plant_architecture;landscape,24,5.9
2122,001/C926/NO/01,,45.711772,8.562817,267,Cedrus deodara (D.Don) G.Don,Cedro dell'Himalaya,circumference;shape,33,6.0
2123,002/D347/NO/01,,45.737144,8.572441,209,Populus nigra L.,Pioppo nero,circumference,29,5.2
2124,001/D347/NO/01,,45.745342,8.56754,200,Salix alba L.,Salice bianco,age;circumference,24,3.6
2125,001/F952/NO/01,,45.438241,8.632793,161,Cedrus atlantica (Endl.) Manetti ex Carrière,Cedro dell'Atlante,circumference;shape,18.5,1.65
2126,002/F952/NO/01,,45.415283,8.65898,150,Juglans nigra L.,Noce nero,circumference,30,4.95
2128,001/A074/TO/01,,45.360672,7.768897,303,Platanus acerifolia (Aiton) Willd.,Platano comune,age;circumference;shape;plant_architecture;landscape,55,6.1
2129,001/A295/TO/01,,44.862128,7.184669,1138,Fagus sylvatica L.,Faggio,shape;landscape,22,3.5
2130,001/A591/TO/01,,45.082183,7.770678,591,Sorbus x tomentella Gand.,Sorbo ibrido,rarity,19,1.5
2131,001/A651/TO/01,,45.07929,6.699156,1310,Pyrus communis L.,Pero domestico,age;circumference,16.5,3.1
2132,001/A853/TO/01,,44.800825,7.286122,453,Tilia cordata Mill.,Tiglio selvatico,age;circumference;shape,28.5,4.3
2133,002/B435/TO/01,,45.30525,7.888634,281,Osmanthus fragrans Lour.,Osmanto odoroso,age;shape,11,2.2
2134,001/B435/TO/01,,45.307286,7.891686,314,Sequoia sempervirens (D. Don) Endl.,Sequoia sempreverde,circumference;rarity,38,5.1
2135,002/B512/TO/01,,44.800246,7.323807,365,Calocedrus decurrens (Torr.) Florin,Libocedro,age;circumference;shape;plant_architecture,36,5.4
2136,001/B512/TO/01,,44.800417,7.324044,365,Liriodendron tulipifera L.,Liriodendro,age;circumference;height;crown;plant_architecture;landscape,40,5.75
2137,004/B512/TO/01,,44.802386,7.329044,355,Pterocarya fraxinifolia (Lam.) Spach,Noce del Caucaso,age;circumference;shape,30,5.75
2139,001/B605/TO/01,,45.372924,7.605255,600,Buxus sempervirens L.,Bosso,shape,4.5,0.87
2140,001/B867/TO/01,,45.136633,7.904111,550,Quercus crenata Lam.,Cerro-Sughera,age;rarity;historic,22,3.25
2141,004/C045/TO/01,,45.171444,7.896869,310,Arbutus unedo L.,Corbezzolo,crown;rarity;plant_architecture,9,0.75
2142,001/C045/TO/01,,45.175281,7.893565,265,Fagus sylvatica L.,Faggio,circumference,27,4.15
2143,003/C045/TO/01,,45.1523,7.893833,460,Fagus sylvatica L.,Faggio,height;rarity,28,3.27
2144,002/C045/TO/01,,45.175944,7.891968,265,Aesculus hippocastanum L.,Ippocastano,circumference;shape;plant_architecture;landscape,15,4.3
2145,001/C241/TO/01,,45.426865,7.702893,659,Aesculus hippocastanum L.,Ippocastano,age;circumference,23,4.2
2146,002/C564/TO/01,,44.918842,6.779028,2268,Pinus cembra L.,Pino cembro,age;shape,7,2.7
2147,001/C564/TO/01,,44.917994,6.776344,2253,Pinus cembra L.,Pino cembro,age;shape;landscape,9,3.2
2148,001/D202/TO/01,,44.941065,7.374685,320,Aesculus hippocastanum L.,Ippocastano,plant_architecture;landscape,21,2.7
2149,003/D202/TO/01,,44.971957,7.368376,380,Ulmus laevis Pallas,Olmo bianco,circumference;rarity,20,3.85
2150,001/D373/TO/01,,45.160968,7.568802,310,Prunus avium L.,Ciliegio selvatico,circumference,27,3.08
2151,002/D373/TO/01,,45.16,7.558333,320,"Quercus petraea subsp. austrotyrrhenica Brullo, R.Guarino & Siracusa",Rovere,age;crown;shape,21,3.96
